Food group,Food,Protein (g),Species,n,Model,Sample,Measure,Analyte,Value (%),SD,Analysis method,Collected From,Original Source,Notes
Cereals and grain products,"Teff, Kaffircorn, cooked and dried at 50°C",10,rat,10,in vivo,fecal,true digestibility,crude protein,76.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Teff, Average",,rat,,in vivo,fecal,true digestibility,crude protein,76.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Wheat germ, Wheat, whole",9,rat,,in vivo,fecal,true digestibility,crude protein,88,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Morgan, A. F. 1931 The effect of heat upon the biological value of cereal proteins and casein. J. biol. Chem., 40: 771-792.",
Cereals and grain products,"Wheat germ, Wheat, whole",12,rat,,in vivo,fecal,true digestibility,crude protein,88,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Morgan, A. F. 1931 The effect of heat upon the biological value of cereal proteins and casein. J. biol. Chem., 40: 771-792.",
Cereals and grain products,"Wheat germ, Wheat, whole",,rat,,in vivo,fecal,true digestibility,crude protein,94,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Mitchell, H. H. 1924 A method of determining the biological value of protein. J. biol. Chem., 58: 873-903.",
Cereals and grain products,"Wheat germ, Average",,rat,,in vivo,fecal,true digestibility,crude protein,90.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Morrison, A.B. & Campbell, J.A. 1960 Studies on the nutritional value of defatted fish flour. Can. J. Biochem., 38: 467-473.",
Cereals and grain products,"Buckwheat, Cooked and dried at 50°C",10,rat,10,in vivo,fecal,true digestibility,crude protein,88.2,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Buckwheat, Average",,rat,,in vivo,fecal,true digestibility,crude protein,88.2,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Buckwheat, Wheat gluten",9,rat,12,in vivo,fecal,true digestibility,crude protein,94,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Guggenheim, K. & Szmelcman, S. 1965 Low-cost protein sources: protein rich mixture based on vegetable foods available in Middle Eastern countries. J. agric. Fd Chem., 13: 148-151.",
Cereals and grain products,"Buckwheat, Wheat gluten",8,rat,12,in vivo,fecal,true digestibility,crude protein,95.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Henry, K. M. & Toothill, J. 1962 A comparison of the body-water and nitrogen balance-sheet methods for determining the nutritive value of proteins. Br. J. Nutr., 16: 125-133.",
Cereals and grain products,"Buckwheat, Average",,rat,,in vivo,fecal,true digestibility,crude protein,95,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Bender, A. E. 1956 Relation between protein efficiency and net protein utilization. Br. J. Nutr., 10: 135-143.",
"Starchy roots, tubers","Potatoes, Potato protein",,rat,,in vivo,fecal,true digestibility,crude protein,89,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Mitchell, H. H. 1924 The biological value of proteins at different levels of intake. J. biol. Chem., 58: 905-922.",
"Starchy roots, tubers","Potatoes, Average",,rat,,in vivo,fecal,true digestibility,crude protein,89,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Mitchell, H. H. 1924 The biological value of proteins at different levels of intake. J. biol. Chem., 58: 905-922.",
Dry legumes and legume produ,"Bambarra, GROUNDNUTS",10,rat,10,in vivo,fecal,true digestibility,crude protein,82.6,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J., du Bruyn, D. B. & Concannon, T. R. J. 1964 Protein value and antitryptic activity of certain pulses grown in South Africa, with special reference to the effect of heat treatment. S. Afr. med. J., 38: 654-658.",
Dry legumes and legume produ,"Beans, Common bean",10,rat,10,in vivo,fecal,true digestibility,crude protein,81.6,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Groot, A. P. 1963 Influence of dehydration of foods on the digestibility and the biological value of the protein. Fd Technol., 17 (3): 103-107.",
Dry legumes and legume produ,"Beans, White tepary bean",,rat,,in vivo,fecal,true digestibility,crude protein,66.2,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, White kidney",10,rat,10,in vivo,fecal,true digestibility,crude protein,78.4,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J., du Bruyn, D. B. & Concannon, T. R. J. 1964 Protein value and antitryptic activity of certain pulses grown in South Africa, with special reference to the effect of heat treatment. S. Afr. med. J., 38: 654-658.",
Dry legumes and legume produ,"Beans, Yellow haricot",10,rat,10,in vivo,fecal,true digestibility,crude protein,75,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J., du Bruyn, D. B. & Concannon, T. R. J. 1964 Protein value and antitryptic activity of certain pulses grown in South Africa, with special reference to the effect of heat treatment. S. Afr. med. J., 38: 654-658.",
Dry legumes and legume produ,"Beans, Haricot bean",10,rat,,in vivo,fecal,true digestibility,crude protein,62.2,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Coffee coloured haricot",10,rat,10,in vivo,fecal,true digestibility,crude protein,74.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J., du Bruyn, D. B. & Concannon, T. R. J. 1964 Protein value and antitryptic activity of certain pulses grown in South Africa, with special reference to the effect of heat treatment. S. Afr. med. J., 38: 654-658.",
Dry legumes and legume produ,"Beans, Black bean",,rat,3,in vivo,fecal,true digestibility,crude protein,65.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Bressani, R., Elías, L. G. & Valiente, A. T. 1963 Effect of cooking and amino acid supplementation on the nutritive value of black beans (Phaseolus vulgaris L.). Br. J. Nutr., 17: 69-78.",
Dry legumes and legume produ,"Beans, Butter bean",10,rat,,in vivo,fecal,true digestibility,crude protein,56.7,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Red bean",10,rat,10,in vivo,fecal,true digestibility,crude protein,77.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Groot, A. P. 1963 Influence of dehydration of foods on the digestibility and the biological value of the protein. Fd Technol., 17 (3): 103-107.",
Dry legumes and legume produ,"Beans, Sugar bean",10,rat,,in vivo,fecal,true digestibility,crude protein,68.8,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Sugar speckled bean",10,rat,,in vivo,fecal,true digestibility,crude protein,77.6,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Natal round yellow bean",10,rat,,in vivo,fecal,true digestibility,crude protein,79.7,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Umzumbi bean",10,rat,,in vivo,fecal,true digestibility,crude protein,80.6,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Red peas",13.4,rat,,in vivo,fecal,true digestibility,crude protein,65.2,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Waterlow, J.C. 1967 Biological value of proteins. (Personal communication)",
Dry legumes and legume produ,"Beans, Spotted sugar bean",10,rat,10,in vivo,fecal,true digestibility,crude protein,80.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J., du Bruyn, D. B. & Concannon, T. R. J. 1964 Protein value and antitryptic activity of certain pulses grown in South Africa, with special reference to the effect of heat treatment. S. Afr. med. J., 38: 654-658.",
Dry legumes and legume produ,"Beans, Scarlet runner bean",10,rat,,in vivo,fecal,true digestibility,crude protein,60.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Green gram",10,rat,4,in vivo,fecal,true digestibility,crude protein,80.1,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Devadas, R. P., Leela, R. & Chandrasekaran, K. N. 1964 Effect of cooking on the digestibility and nutritive value of the proteins of black gram (Phaseolus mungo) and green gram (Phaseolus radiatus). J. Nutr. Diet., 1: 84-86.",
Dry legumes and legume produ,"Beans, Bean",10,rat,,in vivo,fecal,true digestibility,crude protein,80.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,"Beans, Average",,rat,,in vivo,fecal,true digestibility,crude protein,72.8,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,Bonavist niger,10,rat,,in vivo,fecal,true digestibility,crude protein,78.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,Broad beans,10,rat,,in vivo,fecal,true digestibility,crude protein,87.2,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1967 Personal communication.",
Dry legumes and legume produ,Chick-peas,9,rat,,in vivo,fecal,true digestibility,crude protein,86,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Guggenheim, K. & Szmelcman, S. 1965 Low-cost protein sources: protein rich mixture based on vegetable foods available in Middle Eastern countries. J. agric. Fd Chem., 13: 148-151.",
Dry legumes and legume produ,Chick-peas,12,rat,6,in vivo,fecal,true digestibility,crude protein,84,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Chakrabarti, C. H., Saxena, K. L. & Nath, M. C. 1961 Effects of rice polishings concentrate on the nutritive value of some Indian pulses. Annls Biochem. exp. Med., 21: 237-240.",
